county,state,deaths,pop
webster,mississippi,32,10253
dawson,nebraska,31,24326
sullivan,new hampshire,25,43742
salem,new jersey,177,66083
san juan,new mexico,468,130044
cortland,new york,60,49336
madison,new york,88,73442
st. lawrence,new york,96,111944
cherokee,north carolina,20,27444
cumberland,north carolina,299,319431
davie,north carolina,37,41240
granville,north carolina,80,59916
henderson,north carolina,158,106740
lee,north carolina,76,57866
nash,north carolina,181,95840
robeson,north carolina,230,134168
scotland,north carolina,84,36157
union,north carolina,215,201292
carroll,ohio,47,28836
clinton,ohio,64,42040
gallia,ohio,48,30934
greene,ohio,243,161573
hancock,ohio,126,74782
portage,ohio,202,161419
wood,ohio,194,125488
muskogee,oklahoma,164,70990
noble,oklahoma,19,11561
columbia,pennsylvania,133,67295
dauphin,pennsylvania,540,268100
fayette,pennsylvania,306,136606
mercer,pennsylvania,254,116638
schuylkill,pennsylvania,393,148289
colleton,south carolina,126,38892
brown,south dakota,91,36531
chester,tennessee,51,17131
franklin,tennessee,90,41052
gibson,tennessee,145,49683
houston,tennessee,33,8426
loudon,tennessee,70,48556
marion,tennessee,47,28237
mcminn,tennessee,98,52266
perry,tennessee,28,7915
amherst,virginia,36,32353
bedford,virginia,99,68676
culpeper,virginia,61,46689
fluvanna,virginia,17,25691
lee,virginia,46,25587
louisa,virginia,32,33153
rockingham,virginia,105,76314
whitman,washington,48,44776
franklin,alabama,82,31704
houston,alabama,280,101547
tallapoosa,alabama,150,41616
juneau city and borough,alaska,3,31275
matanuska-susitna borough,alaska,45,88995
la plata,colorado,39,51334
logan,colorado,67,22709
teller,colorado,14,23350
burke,georgia,61,23316
catoosa,georgia,70,63942
harris,georgia,58,32024
liberty,georgia,63,63453
madison,georgia,56,28120
morgan,georgia,30,17868
pierce,georgia,56,18758
washington,georgia,86,21187
monroe,illinois,91,32957
dubois,indiana,118,41889
hancock,iowa,34,11341
wapello,iowa,122,35625
bourbon,kansas,26,15173
lyon,kansas,85,33690
logan,kentucky,64,26835
knox,maine,5,39736
garrett,maryland,63,30097
queen anne's,maryland,45,47798
chippewa,michigan,49,38520
kalamazoo,michigan,358,250331
muskegon,michigan,339,172188
newaygo,michigan,58,48460
big stone,minnesota,4,5269
cass,minnesota,28,28567
lac qui parle,minnesota,22,7259
sherburne,minnesota,84,88499
lamar,mississippi,85,55658
marion,mississippi,80,27088
tallahatchie,mississippi,40,15378
adair,missouri,20,25607
callaway,missouri,47,44332
camden,missouri,87,44002
clay,missouri,164,221939
clinton,missouri,65,20743
lafayette,missouri,57,33381
moniteau,missouri,31,15607
perry,missouri,30,18971
st. francois,missouri,115,65359
taney,missouri,92,51675
madison,nebraska,44,34876
washington,nebraska,24,20234
douglas,nevada,35,46997
chaves,new mexico,170,65645
cayuga,new york,92,80026
oswego,new york,90,122109
otsego,new york,47,62259
alamance,north carolina,264,151131
vance,north carolina,86,45422
walsh,north dakota,25,11119
knox,ohio,110,60921
logan,ohio,76,45858
madison,ohio,61,43435
sandusky,ohio,120,60944
washington,ohio,108,61778
pontotoc,oklahoma,72,37492
hood river,oregon,30,22346
cambria,pennsylvania,418,143679
chester,south carolina,75,33140
georgetown,south carolina,139,60158
oconee,south carolina,133,74273
codington,south dakota,81,27227
hughes,south dakota,39,17022
lyman,south dakota,11,3755
pennington,south dakota,190,100948
morris,texas,33,12934
iron,utah,34,46163
danville city,virginia,134,43055
rockbridge,virginia,46,22307
adams,washington,22,18728
douglas,washington,23,38431
dodge,wisconsin,184,88759
autauga,alabama,107,54571
morgan,alabama,279,119490
columbia,arkansas,56,24552
conway,arkansas,32,21273
crawford,arkansas,119,61948
cross,arkansas,50,17870
hot spring,arkansas,72,32923
lawrence,arkansas,43,17415
pike,arkansas,22,11291
stone,arkansas,30,12394
union,arkansas,114,41639
white,arkansas,118,77076
woodruff,arkansas,13,7260
calaveras,california,52,45578
merced,california,454,255793
mono,california,4,14202
delta,colorado,61,30952
fremont,colorado,55,46824
huerfano,colorado,18,6711
baker,georgia,9,3451
ben hill,georgia,79,17634
bryan,georgia,39,30233
camden,georgia,35,50513
colquitt,georgia,118,45498
crisp,georgia,79,23439
fannin,georgia,71,23682
greene,georgia,64,15994
irwin,georgia,28,9538
jasper,georgia,38,13900
macon,georgia,30,14740
meriwether,georgia,84,21992
mitchell,georgia,82,23498
pulaski,georgia,44,12010
seminole,georgia,19,8729
stephens,georgia,81,26175
bannock,idaho,106,82839
cassia,idaho,26,22952
grundy,illinois,75,50063
brown,indiana,41,15242
dearborn,indiana,79,50047
decatur,indiana,96,25740
gibson,indiana,93,33503
jackson,indiana,73,42376
lawrence,indiana,123,46134
montgomery,indiana,90,38124
ohio,indiana,11,6128
porter,indiana,315,164343
starke,indiana,54,23363
sullivan,indiana,42,21475
warrick,indiana,158,59689
buchanan,iowa,31,20958
cedar,iowa,23,18499
jasper,iowa,70,36842
warren,iowa,88,46225
doniphan,kansas,23,7945
pottawatomie,kansas,30,21604
woodson,kansas,5,3309
martin,kentucky,20,12929
mccracken,kentucky,120,65565
menifee,kentucky,16,6306
muhlenberg,kentucky,61,31499
simpson,kentucky,36,17327
waldo,maine,19,38786
hillsdale,michigan,85,46688
isabella,michigan,85,70311
kalkaska,michigan,21,17153
lapeer,michigan,185,88319
manistee,michigan,23,24733
choctaw,mississippi,18,8547
newton,mississippi,61,21720
noxubee,mississippi,34,11545
cape girardeau,missouri,134,75674
franklin,missouri,181,101492
jefferson,missouri,241,218733
pemiscot,missouri,30,18296
jefferson,montana,8,11406
saunders,nebraska,16,20780
cibola,new mexico,110,27213
curry,new mexico,76,48376
chemung,new york,133,88830
orleans,new york,83,42883
montgomery,north carolina,93,27798
randolph,north carolina,224,141752
transylvania,north carolina,32,33090
dunn,north dakota,7,3536
champaign,ohio,58,40097
crawford,ohio,106,43784
fairfield,ohio,199,146156
highland,ohio,61,43589
mayes,oklahoma,68,41259
wagoner,oklahoma,113,73085
clatsop,oregon,8,37039
armstrong,pennsylvania,131,68941
bradford,pennsylvania,88,62622
carbon,pennsylvania,167,65249
clearfield,pennsylvania,139,81642
juniata,pennsylvania,82,24636
somerset,pennsylvania,201,77742
chesterfield,south carolina,103,46734
brookings,south dakota,37,31965
claiborne,tennessee,74,32213
dekalb,tennessee,54,18723
grundy,tennessee,34,13703
hardin,tennessee,66,26026
lincoln,tennessee,63,33361
madison,tennessee,241,98294
overton,tennessee,61,22083
chambers,texas,49,35096
comal,texas,317,108472
falls,texas,32,17866
grayson,texas,340,120877
hidalgo,texas,2824,774769
jefferson,texas,422,252273
nueces,texas,775,340223
parker,texas,180,116927
victoria,texas,206,86793
caledonia,vermont,6,31227
orleans,vermont,10,27231
chesapeake city,virginia,289,222209
halifax,virginia,77,36241
berkeley,west virginia,126,104169
harrison,west virginia,85,69099
preston,west virginia,47,33520
wood,west virginia,168,86956
sweetwater,wyoming,37,43806
blount,alabama,135,57322
butler,alabama,69,20947
cherokee,alabama,45,25989
chilton,alabama,111,43643
clay,alabama,56,13932
cleburne,alabama,41,14972
colbert,alabama,134,54428
dallas,alabama,150,43820
etowah,alabama,352,104430
lawrence,alabama,98,34339
marshall,alabama,222,93019
pickens,alabama,59,19746
pike,alabama,77,32899
russell,alabama,39,52947
wilcox,alabama,28,11670
drew,arkansas,43,18509
inyo,california,38,18546
sutter,california,110,94737
otero,colorado,65,18831
gadsden,florida,94,46389
decatur,georgia,70,27842
dodge,georgia,102,21796
jackson,georgia,151,60485
jones,georgia,57,28669
long,georgia,12,14464
taylor,georgia,25,8906
thomas,georgia,123,44720
ware,georgia,177,36312
white,georgia,80,27144
wilkes,georgia,27,10593
fremont,idaho,14,13242
idaho,idaho,18,1567582
jefferson,idaho,26,26140
nez perce,idaho,55,39265
payette,idaho,36,22623
douglas,illinois,41,19980
marshall,illinois,20,12640
morgan,illinois,101,35547
dekalb,indiana,87,42223
jasper,indiana,49,33478
rush,indiana,24,17392
benton,iowa,55,26076
crawford,kansas,84,39134
neosho,kansas,35,16512
shawnee,kansas,359,177934
grayson,kentucky,54,25746
laurel,kentucky,70,58849
mccreary,kentucky,31,18306
wayne,kentucky,49,20813
kent,maryland,46,20197
dukes,massachusetts,2,16535
iosco,michigan,70,25887
lenawee,michigan,158,99892
marquette,michigan,59,67077
sanilac,michigan,103,43114
van buren,michigan,116,76258
goodhue,minnesota,72,46183
winona,minnesota,50,51461
calhoun,mississippi,32,14962
prentiss,mississippi,59,25276
cooper,missouri,28,17601
mcdonald,missouri,36,23083
montgomery,missouri,11,12236
newton,missouri,75,58114
platte,missouri,47,89322
ralls,missouri,12,10167
randolph,missouri,30,25414
shelby,missouri,7,6373
hill,montana,44,16096
dodge,nebraska,60,36691
lyon,nevada,65,51980
eddy,new mexico,129,53829
rio arriba,new mexico,75,40246
chautauqua,new york,137,134905
franklin,new york,12,51599
bertie,north carolina,43,21282
burke,north carolina,153,90912
caldwell,north carolina,104,83029
cleveland,north carolina,224,98078
duplin,north carolina,132,58505
hertford,north carolina,63,24669
lenoir,north carolina,112,59495
mcdowell,north carolina,63,44996
northampton,north carolina,58,22099
foster,north dakota,19,3343
stark,north dakota,51,24199
fayette,ohio,48,29030
lawrence,ohio,102,62450
mercer,ohio,101,40814
pickaway,ohio,121,55698
seneca,ohio,121,56745
wayne,ohio,219,114520
adair,oklahoma,41,22683
bryan,oklahoma,71,42416
carter,oklahoma,108,47557
creek,oklahoma,154,69967
delaware,oklahoma,90,41487
osage,oklahoma,73,47472
pottawatomie,oklahoma,125,69442
stephens,oklahoma,101,45048
lincoln,oregon,20,46034
greene,pennsylvania,39,38686
lawrence,pennsylvania,205,91108
lycoming,pennsylvania,276,116111
warren,pennsylvania,101,41815
bristol,rhode island,141,49875
kent,rhode island,360,166158
newport,rhode island,41,82888
providence,rhode island,1946,626667
washington,rhode island,168,126979
marion,south carolina,107,33062
union,south carolina,84,28961
williamsburg,south carolina,99,34423
lincoln,south dakota,77,44828
meade,south dakota,31,25434
bedford,tennessee,129,45058
hawkins,tennessee,107,56833
lewis,tennessee,26,12161
white,tennessee,69,25841
atascosa,texas,150,44911
austin,texas,34,28417
blanco,texas,20,10497
burnet,texas,64,42750
coryell,texas,86,75388
eastland,texas,48,18583
erath,texas,68,37890
fayette,texas,61,24554
gaines,texas,43,17526
grimes,texas,69,26604
guadalupe,texas,210,131533
hale,texas,155,36273
hardin,texas,111,54635
hopkins,texas,109,35161
hunt,texas,167,86129
kaufman,texas,256,103350
kendall,texas,72,33410
lamar,texas,155,49793
liberty,texas,182,75643
limestone,texas,76,23384
llano,texas,51,19301
maverick,texas,355,54258
milam,texas,48,24757
orange,texas,146,81837
robertson,texas,40,16622
san patricio,texas,148,64804
terry,texas,56,12651
tom green,texas,269,110224
walker,texas,125,67861
wharton,texas,115,41280
wilson,texas,68,42918
lamoille,vermont,3,24475
frederick,virginia,100,78305
fredericksburg city,virginia,23,24286
madison,virginia,16,13308
manassas city,virginia,47,37821
mathews,virginia,12,8978
nelson,virginia,12,15020
nottoway,virginia,48,15853
orange,virginia,39,33481
roanoke,virginia,139,92376
shenandoah,virginia,130,41993
ferry,washington,4,7551
okanogan,washington,38,41120
logan,west virginia,93,36743
marion,west virginia,50,56418
ohio,west virginia,86,44443
raleigh,west virginia,82,78859
grant,wisconsin,90,51208
iowa,wisconsin,12,23687
juneau,wisconsin,27,26664
monroe,wisconsin,38,44673
albany,wyoming,11,36299
bullock,alabama,41,10914
choctaw,alabama,24,13859
coosa,alabama,28,11539
crenshaw,alabama,57,13906
dekalb,alabama,185,71109
lowndes,alabama,53,11299
marengo,alabama,64,21027
la paz,arizona,80,20489
mohave,arizona,715,200186
chicot,arkansas,41,11800
howard,arkansas,25,13789
lonoke,arkansas,119,68356
randolph,arkansas,50,17969
kit carson,colorado,11,8270
rio grande,colorado,14,11982
washington,colorado,12,4814
washington,florida,52,24896
calhoun,georgia,15,6694
franklin,georgia,53,22084
haralson,georgia,82,28780
mcduffie,georgia,48,21875
toombs,georgia,113,27223
custer,idaho,3,4368
franklin,illinois,83,39561
tazewell,illinois,311,135394
fountain,indiana,47,17240
marshall,indiana,112,47051
orange,indiana,57,19840
posey,indiana,33,25910
warren,indiana,16,8508
appanoose,iowa,47,12887
clayton,iowa,56,18129
des moines,iowa,66,40325
mahaska,iowa,50,22381
monona,iowa,30,9243
page,iowa,21,15932
jefferson,kansas,35,19126
sumner,kansas,51,24132
boone,kentucky,145,118811
hopkins,kentucky,146,46920
mason,kentucky,34,17490
mercer,kentucky,50,21331
union,kentucky,15,15007
webster,kentucky,20,13621
franklin,maine,13,30768
gogebic,michigan,50,16427
ionia,michigan,82,63905
mecosta,michigan,30,42798
missaukee,michigan,23,14849
oceana,michigan,54,26570
ogemaw,michigan,36,21699
shiawassee,michigan,96,70648
kandiyohi,minnesota,81,42239
sibley,minnesota,10,15226
wilkin,minnesota,12,6576
benton,mississippi,25,8729
lauderdale,mississippi,240,80261
quitman,mississippi,16,8223
yalobusha,mississippi,37,12678
benton,missouri,33,19056
bollinger,missouri,12,12363
carter,missouri,10,6265
stoddard,missouri,37,29968
lincoln,montana,17,19687
meagher,montana,7,1891
toole,montana,11,5324
hall,nebraska,117,58607
kearney,nebraska,5,6489
beaufort,north carolina,95,47759
mchenry,north dakota,22,5395
mcintosh,north dakota,7,2809
athens,ohio,58,64757
jefferson,ohio,150,69709
muskingum,ohio,131,86074
wyandot,ohio,54,22615
comanche,oklahoma,183,124098
craig,oklahoma,18,15029
lincoln,oklahoma,70,34273
okmulgee,oklahoma,77,40069
ottawa,oklahoma,64,31848
sequoyah,oklahoma,50,42391
tillamook,oregon,3,25250
wasco,oregon,28,25213
blair,pennsylvania,323,127089
crawford,pennsylvania,147,88765
indiana,pennsylvania,171,88880
susquehanna,pennsylvania,60,43356
benton,tennessee,40,16489
cannon,tennessee,31,13801
macon,tennessee,78,22248
meigs,tennessee,25,11753
unicoi,tennessee,49,18313
angelina,texas,279,86771
calhoun,texas,23,21381
jackson,texas,31,14075
karnes,texas,37,14824
martin,texas,18,4799
nacogdoches,texas,168,64524
rockwall,texas,155,78337
val verde,texas,220,48879
morgan,utah,11,9469
amelia,virginia,31,12690
fauquier,virginia,64,65203
greene,virginia,17,18403
hampton city,virginia,172,137436
king george,virginia,19,23584
lynchburg city,virginia,146,75568
northampton,virginia,36,12389
pittsylvania,virginia,78,63506
poquoson city,virginia,16,12150
prince george,virginia,27,35725
radford city,virginia,18,16408
southampton,virginia,56,18570
warren,virginia,55,37575
washington,virginia,106,54876
mason,west virginia,41,27324
upshur,west virginia,35,24254
clark,wisconsin,63,34690
portage,wisconsin,72,70019
vilas,wisconsin,42,21430
hot springs,wyoming,3,4812
johnson,wyoming,10,8569
covington,alabama,117,37765
escambia,alabama,75,38319
greene,alabama,34,9045
randolph,alabama,41,22913
winston,alabama,72,24484
baxter,arkansas,103,41513
colusa,california,16,21419
kings,california,246,152982
alamosa,colorado,31,15445
costilla,colorado,2,3524
lincoln,colorado,4,5467
levy,florida,54,40801
suwannee,florida,138,41551
chattahoochee,georgia,15,11267
habersham,georgia,161,43041
hart,georgia,52,25213
upson,georgia,126,27153
gem,idaho,38,16719
bureau,illinois,95,34978
henry,illinois,92,50486
iroquois,illinois,67,29718
carroll,indiana,22,20155
clinton,indiana,58,33224
fulton,indiana,40,20836
henry,indiana,104,49462
huntington,indiana,82,37124
kosciusko,indiana,120,77358
lagrange,indiana,72,37128
randolph,indiana,82,26171
whitley,indiana,40,33292
butler,iowa,34,14867
clinton,iowa,92,49116
dickinson,iowa,43,16667
hardin,iowa,43,17534
iowa,iowa,24,3046355
marshall,iowa,75,40648
montgomery,iowa,37,10740
webster,iowa,92,38013
wright,iowa,36,13229
clay,kansas,29,8535
coffey,kansas,23,8601
gove,kansas,22,2695
harvey,kansas,75,34684
mcpherson,kansas,88,29180
osage,kansas,25,16295
ottawa,kansas,13,6091
bullitt,kentucky,72,74319
campbell,kentucky,83,90336
larue,kentucky,26,14193
woodford,kentucky,19,24939
cass,michigan,74,52293
crawford,michigan,13,14074
gratiot,michigan,116,42476
huron,michigan,73,33118
beltrami,minnesota,58,44442
faribault,minnesota,19,14553
lincoln,minnesota,3,5896
mahnomen,minnesota,8,5413
jefferson,mississippi,28,7726
kemper,mississippi,28,10456
neshoba,mississippi,176,29676
sharkey,mississippi,17,4916
atchison,missouri,6,5685
barry,missouri,45,35597
buchanan,missouri,181,89201
chariton,missouri,8,7831
lincoln,missouri,41,52566
pettis,missouri,78,42201
ray,missouri,27,23494
wright,missouri,32,18815
lake,montana,36,28746
park,montana,19,15636
roosevelt,new mexico,55,19846
valencia,new mexico,106,76569
greene,north carolina,44,21362
person,north carolina,67,39464
surry,north carolina,158,73673
fulton,ohio,69,42698
shelby,ohio,93,49423
caddo,oklahoma,87,29600
cherokee,oklahoma,74,46987
choctaw,oklahoma,21,15205
latimer,oklahoma,13,11154
pittsburg,oklahoma,68,45837
columbia,oregon,26,49351
morrow,oregon,15,11173
northumberland,pennsylvania,347,94528
aurora,south dakota,16,2710
faulk,south dakota,13,2364
lawrence,south dakota,47,24097
todd,south dakota,29,9612
union,south dakota,43,14399
smith,tennessee,39,19166
cherokee,texas,140,50845
harrison,texas,107,65631
hood,texas,129,51182
montague,texas,71,19719
navarro,texas,154,47735
randall,texas,294,120725
shelby,texas,67,25448
starr,texas,297,60968
taylor,texas,406,131506
uvalde,texas,72,26405
willacy,texas,88,22134
young,texas,44,18550
uintah,utah,22,32588
bristol city,virginia,33,17835
galax city,virginia,51,7042
roanoke city,virginia,190,97032
skamania,washington,1,11066
greenbrier,west virginia,65,35480
hancock,west virginia,98,30676
pleasants,west virginia,18,7605
iron,wisconsin,40,5916
marinette,wisconsin,69,41749
richland,wisconsin,15,18021
waupaca,wisconsin,162,52410
goshen,wyoming,24,13249
washakie,wyoming,26,8533
monroe,alabama,40,23068
gila,arizona,227,53597
johnson,arkansas,38,25540
glenn,california,25,28122
baca,colorado,4,3788
moffat,colorado,23,13795
hendry,florida,82,39140
bulloch,georgia,113,70217
jenkins,georgia,44,8340
murray,georgia,86,39628
pike,georgia,40,17869
walton,georgia,255,83768
wheeler,georgia,24,7421
bonneville,idaho,169,104234
lincoln,idaho,11,5208
carroll,illinois,37,15387
fayette,illinois,58,22140
macon,illinois,204,110768
crawford,indiana,15,10713
newton,indiana,36,14244
switzerland,indiana,8,10613
vermillion,indiana,43,16212
wabash,indiana,78,32888
white,indiana,55,24643
boone,iowa,34,26306
keokuk,iowa,31,10511
shelby,iowa,37,12167
taylor,iowa,12,6317
miami,kansas,42,32787
boyle,kentucky,70,28432
bracken,kentucky,7,8488
breckinridge,kentucky,15,20059
butler,kentucky,24,12690
carroll,kentucky,19,10811
floyd,kentucky,65,39451
grant,kentucky,22,24662
nicholas,kentucky,8,7135
shelby,kentucky,70,42074
washington,kentucky,36,11717
osceola,michigan,27,23528
clearwater,minnesota,16,8695
amite,mississippi,41,13131
clarke,mississippi,79,16732
covington,mississippi,80,19568
ripley,missouri,15,14100
warren,missouri,31,32513
gosper,nebraska,5,2044
platte,nebraska,48,32237
humboldt,nevada,14,16528
cattaraugus,new york,84,80317
schuyler,new york,14,18343
edgecombe,north carolina,111,56552
perquimans,north carolina,10,13453
polk,north carolina,29,20510
barnes,north dakota,31,11066
divide,north dakota,2,2071
mclean,north dakota,31,8962
mountrail,north dakota,17,7673
sioux,north dakota,12,4153
allen,ohio,235,106331
auglaize,ohio,99,45949
ottawa,ohio,78,41428
pike,ohio,32,28709
van wert,ohio,63,28744
le flore,oklahoma,64,50384
nowata,oklahoma,18,10536
cameron,pennsylvania,8,5085
clarion,pennsylvania,91,39988
huntingdon,pennsylvania,128,45913
mckean,pennsylvania,68,43450
perry,pennsylvania,99,45969
snyder,pennsylvania,83,39702
tioga,pennsylvania,104,41981
laurens,south carolina,170,66537
deuel,south dakota,9,4364
hamlin,south dakota,39,5903
hutchinson,south dakota,27,7343
yankton,south dakota,30,22438
bledsoe,tennessee,11,12876
carter,tennessee,156,57424
hardeman,tennessee,65,27253
johnson,tennessee,38,18244
morgan,tennessee,39,21987
trousdale,tennessee,22,7870
union,tennessee,34,19109
weakley,tennessee,64,35021
burleson,texas,46,17187
caldwell,texas,96,38066
lamb,texas,82,13977
lynn,texas,23,5915
washington,texas,93,33718
garfield,utah,10,5172
san juan,utah,37,14746
hopewell city,virginia,71,22591
lancaster,virginia,16,11391
montgomery,virginia,91,94392
new kent,virginia,16,18429
northumberland,virginia,21,12330
powhatan,virginia,16,28046
oneida,wisconsin,75,35998
converse,wyoming,17,13833
sublette,wyoming,7,10247
macon,alabama,49,21452
arkansas,arkansas,38,2915918
ashley,arkansas,34,21853
hempstead,arkansas,20,22609
nevada,arkansas,24,8997
perry,arkansas,10,10445
tuolumne,california,65,55365
mineral,colorado,1,712
montezuma,colorado,24,25535
glades,florida,19,12884
wakulla,florida,55,30776
bacon,georgia,36,11096
brooks,georgia,47,16243
candler,georgia,65,10998
owyhee,idaho,28,11526
bond,illinois,30,17768
knox,illinois,169,52919
menard,illinois,16,12705
montgomery,illinois,79,30104
clay,indiana,45,26890
greene,indiana,89,33165
knox,indiana,90,38440
steuben,indiana,59,34185
finney,kansas,71,36776
montgomery,kansas,79,35471
stafford,kansas,9,4437
stevens,kansas,10,5724
boyd,kentucky,73,49542
lewis,kentucky,35,13870
taylor,kentucky,47,24512
somerset,maine,29,52228
cheboygan,michigan,41,26152
cottonwood,minnesota,21,11687
douglas,minnesota,74,36009
isanti,minnesota,62,37816
otter tail,minnesota,74,57303
carroll,mississippi,27,10597
claiborne,mississippi,30,9604
warren,mississippi,119,48773
deer lodge,montana,15,9298
scotts bluff,nebraska,95,36970
lewis,new york,34,27087
alleghany,north carolina,5,11155
caswell,north carolina,27,23719
columbus,north carolina,150,58098
currituck,north carolina,16,23547
halifax,north carolina,109,54691
pamlico,north carolina,13,13144
washington,north carolina,31,13228
yadkin,north carolina,47,38406
garfield,oklahoma,128,60580
rogers,oklahoma,174,86905
seminole,oklahoma,69,25482
texas,oklahoma,32,20640
mifflin,pennsylvania,176,46682
venango,pennsylvania,93,54984
clark,south dakota,5,3691
clay,south dakota,16,13864
fall river,south dakota,15,7094
roberts,south dakota,39,10149
turner,south dakota,56,8347
coffee,tennessee,121,52796
haywood,tennessee,61,18787
henry,tennessee,76,32330
mcnairy,tennessee,54,26075
obion,tennessee,96,31807
dawson,texas,68,13833
ector,texas,368,137130
franklin,texas,26,10605
henderson,texas,184,78532
kleberg,texas,93,32061
polk,texas,112,45413
san jacinto,texas,36,26384
swisher,texas,17,7854
waller,texas,46,43205
alleghany,virginia,49,16250
greensville,virginia,25,12243
manassas park city,virginia,12,14273
tazewell,virginia,67,45078
winchester city,virginia,44,26203
wythe,virginia,78,29235
cabell,west virginia,182,96319
morgan,west virginia,20,17541
wetzel,west virginia,29,16583
wirt,west virginia,3,5717
bibb,alabama,63,22915
fayette,alabama,62,17241
hale,alabama,76,15760
sumter,alabama,32,13763
greenlee,arizona,10,8437
newton,arkansas,26,8330
st. francis,arkansas,42,28258
alpine,california,0,1175
archuleta,colorado,1,12084
phillips,colorado,13,4442
holmes,florida,52,19927
appling,georgia,71,18236
banks,georgia,35,18395
berrien,georgia,44,19286
bleckley,georgia,51,13063
clay,georgia,3,3183
cook,georgia,43,17212
dade,georgia,14,16633
dooly,georgia,45,14918
gilmer,georgia,84,28292
jefferson,georgia,66,16930
johnson,georgia,49,9980
mcintosh,georgia,16,14333
schley,georgia,5,5010
talbot,georgia,18,6865
warren,georgia,17,5834
bonner,idaho,43,40877
elmore,idaho,15,27038
jerome,idaho,23,22374
minidoka,idaho,32,20069
clark,illinois,40,16335
crawford,illinois,42,19817
marion,illinois,121,39437
randolph,illinois,90,33476
saline,illinois,69,24913
audubon,iowa,9,6119
crawford,iowa,40,17096
guthrie,iowa,29,10954
jackson,iowa,42,19848
jones,iowa,57,20638
van buren,iowa,18,7570
atchison,kansas,14,16924
saline,kansas,134,55606
marion,kentucky,37,19820
marshall,kentucky,56,31448
antrim,michigan,27,23580
delta,michigan,88,37069
houghton,michigan,41,36628
st. joseph,michigan,94,61295
itasca,minnesota,53,45058
meeker,minnesota,38,23300
watonwan,minnesota,9,11211
alcorn,mississippi,68,37057
cedar,missouri,21,13982
crawford,missouri,36,24696
livingston,missouri,40,15195
macon,missouri,15,15566
maries,missouri,8,9176
morgan,missouri,43,20565
osage,missouri,15,13878
pike,missouri,24,18516
reynolds,missouri,4,6696
stone,missouri,44,32202
webster,missouri,54,36202
antelope,nebraska,6,6685
york,nebraska,13,13665
torrance,new mexico,13,16383
alexander,north carolina,83,37198
rutherford,north carolina,206,67810
grand forks,north dakota,77,66861
oliver,north dakota,3,1846
brown,ohio,57,44846
holmes,ohio,104,42366
preble,ohio,98,42270
ross,ohio,152,78064
beckham,oklahoma,55,22119
cotton,oklahoma,16,6193
love,oklahoma,20,9423
union,pennsylvania,86,44947
barnwell,south carolina,56,22621
marshall,south dakota,6,4656
fentress,tennessee,47,17959
giles,tennessee,100,29485
lawrence,tennessee,86,41869
marshall,tennessee,58,30617
warren,tennessee,81,39839
wayne,tennessee,35,17021
hill,texas,108,35089
leon,texas,43,16801
moore,texas,72,21904
wise,texas,121,59127
henry,virginia,122,54151
king william,virginia,11,15935
petersburg city,virginia,84,32420
smyth,virginia,91,32208
randolph,west virginia,13,29405
roane,west virginia,8,14926
door,wisconsin,28,27785
jackson,wisconsin,28,20449
marquette,wisconsin,27,15404
miller,arkansas,37,43462
scott,arkansas,14,11233
plumas,california,6,20007
lake,colorado,1,7310
saguache,colorado,4,6108
calhoun,florida,47,14625
union,florida,72,15535
emanuel,georgia,81,22598
grady,georgia,60,25011
oglethorpe,georgia,29,14899
rabun,georgia,49,16276
screven,georgia,31,14593
stewart,georgia,25,6058
walker,georgia,87,68756
webster,georgia,4,2799
wilcox,georgia,47,9255
wilkinson,georgia,28,9563
adams,idaho,4,3976
camas,idaho,0,1117
ford,illinois,54,14081
ogle,illinois,88,53497
cass,indiana,107,38966
jefferson,indiana,81,32428
clay,iowa,25,16667
barton,kansas,47,27674
chautauqua,kansas,6,3669
labette,kansas,49,21607
barren,kentucky,91,42173
edmonson,kentucky,21,12161
graves,kentucky,92,37121
hancock,kentucky,16,8565
henry,kentucky,13,15416
lawrence,kentucky,21,15860
powell,kentucky,12,12613
rockcastle,kentucky,22,17056
russell,kentucky,43,17565
arenac,michigan,29,15899
branch,michigan,118,45248
oscoda,michigan,24,8640
brown,minnesota,40,25893
carlton,minnesota,52,35386
lyon,minnesota,50,25857
traverse,minnesota,5,3558
tishomingo,mississippi,67,19593
harrison,missouri,14,8957
ste. genevieve,missouri,16,18145
liberty,montana,1,2339
musselshell,montana,11,4538
kimball,nebraska,8,3821
seneca,new york,56,35251
anson,north carolina,55,26948
clay,north carolina,18,10587
martin,north carolina,39,24505
rockingham,north carolina,106,93643
wilkes,north carolina,111,69340
grant,north dakota,7,2394
mckenzie,north dakota,12,6360
williams,north dakota,38,22398
perry,ohio,50,36058
malheur,oregon,61,31313
wallowa,oregon,5,7008
bedford,pennsylvania,134,49762
bamberg,south carolina,51,15987
humphreys,tennessee,24,18538
brunswick,virginia,21,17434
buckingham,virginia,30,17146
campbell,virginia,84,54842
carroll,virginia,69,30042
clarke,virginia,19,14034
franklin city,virginia,32,8582
king and queen,virginia,8,6945
page,virginia,57,24042
surry,virginia,9,7058
waynesboro city,virginia,38,21006
hardy,west virginia,24,14025
ashland,wisconsin,16,16157
buffalo,wisconsin,7,13587
oconto,wisconsin,61,37660
clarke,alabama,60,25833
conecuh,alabama,28,13228
dale,alabama,111,50251
carroll,arkansas,45,27446
lee,arkansas,35,10424
gulf,florida,43,15863
hardee,florida,43,27731
madison,florida,45,19224
